Name,Team,Name,WAR,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA","Mike Trout",87.16160014355852,"Mike Trout",10155,545361
"Freddie Freeman","- - -","Freddie Freeman",64.7964834753076,"Freddie Freeman",5361,518692
"Mookie Betts","- - -","Mookie Betts",62.58296692977633,"Mookie Betts",13611,605141
"Aaron Judge","NYY","Aaron Judge",61.4190605481898,"Aaron Judge",15640,592450
"Francisco Lindor","- - -","Francisco Lindor",60.4202939600954,"Francisco Lindor",12916,596019
"Jose Altuve","HOU","Jose Altuve",60.04362268032346,"Jose Altuve",5417,514888
"Joey Votto","CIN","Joey Votto",58.73139354431035,"Joey Votto",4314,458015
"Buster Posey","SFG","Buster Posey",57.85009504097354,"Buster Posey",9166,457763
"José Ramírez","CLE","José Ramírez",57.623925442365845,"Jose Ramirez",13510,608070
"Paul Goldschmidt","- - -","Paul Goldschmidt",57.34802893741939,"Paul Goldschmidt",9218,502671
"Manny Machado","- - -","Manny Machado",57.328862832762944,"Manny Machado",11493,592518
"Bryce Harper","- - -","Bryce Harper",55.625983363025135,"Bryce Harper",11579,547180
"Evan Longoria","- - -","Evan Longoria",55.202449977254815,"Evan Longoria",9368,446334
"Robinson Canó","- - -","Robinson Canó",54.954447316739675,"Robinson Cano",3269,429664
"Yadier Molina","STL","Yadier Molina",54.26449265363455,"Yadier Molina",7007,425877
"Miguel Cabrera","- - -","Miguel Cabrera",54.11984532645918,"Miguel Cabrera",1744,408234
"Andrew McCutchen","- - -","Andrew McCutchen",52.3431565486568,"Andrew McCutchen",9847,457705
"Russell Martin","- - -","Russell Martin",52.114951137975446,"Russell Martin",4616,431145
"Nolan Arenado","- - -","Nolan Arenado",51.61239727135281,"Nolan Arenado",9777,571448
"Adrian Beltré","- - -","Adrian Beltré",51.226711891581786,"Adrian Beltre",639,134181
"Trea Turner","- - -","Trea Turner",47.504190968241964,"Trea Turner",16252,607208
"Brian McCann","- - -","Brian McCann",47.37609091269649,"Brian McCann",4810,435263
"Josh Donaldson","- - -","Josh Donaldson",46.43357989391132,"Josh Donaldson",5038,518626
"Ian Kinsler","- - -","Ian Kinsler",46.23649576929304,"Ian Kinsler",6195,435079
"Dustin Pedroia","BOS","Dustin Pedroia",45.72904983907035,"Dustin Pedroia",8370,456030
"Christian Yelich","- - -","Christian Yelich",45.524393741628245,"Christian Yelich",11477,592885
"Chase Utley","- - -","Chase Utley",45.36181557155937,"Chase Utley",1679,400284
"Giancarlo Stanton","- - -","Giancarlo Stanton",44.64215446516352,"Giancarlo Stanton",4949,519317
"Albert Pujols","- - -","Albert Pujols",44.07964283197033,"Albert Pujols",1177,405395
"Xander Bogaerts","- - -","Xander Bogaerts",43.939226072524704,"Xander Bogaerts",12161,593428
"Ryan Braun","MIL","Ryan Braun",43.77711758675771,"Ryan Braun",3410,460075
"Ben Zobrist","- - -","Ben Zobrist",43.4890385006001,"Ben Zobrist",7435,450314
"Alex Bregman","- - -","Alex Bregman",43.12281191441288,"Alex Bregman",17678,608324
"Joe Mauer","MIN","Joe Mauer",43.07047886361647,"Joe Mauer",1857,408045
"Juan Soto","- - -","Juan Soto",42.32705369358411,"Juan Soto",20123,665742
"Matt Holliday","- - -","Matt Holliday",42.04394797842949,"Matt Holliday",1873,407812
"Curtis Granderson","- - -","Curtis Granderson",41.871170677667195,"Curtis Granderson",4747,434158
"Corey Seager","- - -","Corey Seager",41.245367624620044,"Corey Seager",13624,608369
"Nelson Cruz","- - -","Nelson Cruz",41.23049353492967,"Nelson Cruz",2434,443558
"George Springer","- - -","George Springer",40.55230288836762,"George Springer",12856,543807
"Carlos Correa","- - -","Carlos Correa",40.53851264688055,"Carlos Correa",14162,621043
"Yasmani Grandal","- - -","Yasmani Grandal",40.036713220444305,"Yasmani Grandal",11368,518735
"Marcus Semien","- - -","Marcus Semien",38.9010901194631,"Marcus Semien",12533,543760
"David Wright","NYM","David Wright",38.58373112840149,"David Wright",3787,431151
"Troy Tulowitzki","- - -","Troy Tulowitzki",38.31488600207403,"Troy Tulowitzki",3531,453064
"Hanley Ramirez","- - -","Hanley Ramirez",37.50032971869609,"Hanley Ramirez",8001,434670
"José Bautista","- - -","José Bautista",37.45495926783723,"Jose Bautista",1887,430832
