Name,Age,Season,PA,wRC+,K%,BB%,ISO,PlayerId
"Alfredo Amezaga",34,2012,439,88.01447243180134,0.136674259,0.08428246,0.09798995,"1"
"Alfredo Amezaga",33,2011,277,95.87633967756403,0.129963898,0.10469314,0.138075314,"1"
"Cliff Brumbaugh",36,2010,85,107.78319547570254,0.235294117,0.129411764,0.219178082,"1001582"
"Matias Carrillo Sr.",44,2007,252,96.78507334365887,0.059523809,0.075396825,0.132743363,"1001993"
"Matias Carrillo Sr.",45,2008,214,129.94712370061558,0.084112149,0.116822429,0.12568306,"1001993"
"Pedro Castellano",37,2007,90,117.56862897178894,0.166666666,0.122222222,0.146666667,"1002056"
"Pedro Castellano",38,2008,428,163.43153193460765,0.112149532,0.116822429,0.161725068,"1002056"
"Pedro Castellano",39,2009,417,112.4563914503531,0.146282973,0.083932853,0.142857143,"1002056"
"Pedro Castellano",40,2010,413,137.64791510728543,0.142857142,0.111380145,0.156862745,"1002056"
"Pedro Castellano",42,2012,213,119.17715360971681,0.150234741,0.07511737,0.182291667,"1002056"
"Pedro Castellano",41,2011,283,103.38562846852409,0.176678445,0.091872791,0.134693878,"1002056"
"Pedro Castellano",37,2007,362,120.43644092068975,0.132596685,0.077348066,0.226006192,"1002056"
"Edgard Clemente",33,2009,140,160.70704984256173,0.135714285,0.142857142,0.245762712,"1002337"
"Edgard Clemente",34,2010,91,150.52293970681464,0.164835164,0.098901098,0.220779221,"1002337"
"Edgard Clemente",33,2009,254,114.01046162507569,0.208661417,0.125984251,0.207373272,"1002337"
"Edgard Clemente",36,2012,114,127.3618657443901,0.219298245,0.105263157,0.252525252,"1002337"
"Tike Redman",33,2010,276,153.9694855598002,0.057971014,0.177536231,0.154545455,"1003"
"Tike Redman",34,2011,311,93.1580694191539,0.10289389,0.144694533,0.058365758,"1003"
"Tike Redman",32,2009,65,70.7209516227674,0.123076923,0.123076923,0.018181818,"1003"
"Tike Redman",30,2007,336,120.9800831047581,0.071428571,0.095238095,0.111486486,"1003"
"Tike Redman",31,2008,527,104.75136894660118,0.09487666,0.091081593,0.07775378,"1003"
"Edwin Diaz",32,2007,249,108.61463648689045,0.120481927,0.032128514,0.164556962,"1003266"
"Jose Fernandez",35,2010,249,151.5954355254832,0.088353413,0.112449799,0.246445498,"1003998"
"Pokey Reese",35,2008,79,12.152479822589731,0.227848101,0.025316455,0.056338028,"1004"
"Wil Myers",21,2012,439,133.9146666462718,0.223234624,0.102505694,0.25,"10047"
"Grant Green",24,2012,562,111.54574730825063,0.133451957,0.058718861,0.162213741,"10053"
"Alex White",23,2012,11,6.5338133523398945,0.272727272,0,0.1,"10054"
"Brooks Raley",24,2012,20,36.38861459972228,0.3,0.1,0.058823529,"10061"
"Robin Jennings",35,2007,112,99.8673000917109,0.125,0.0625,0.201923076,"1006397"
"Manny Martinez",37,2008,310,117.9294865859134,0.141935483,0.096774193,0.126394052,"1008182"
"Manny Martinez",36,2007,99,118.82886709668274,0.191919191,0.171717171,0.158536586,"1008182"
"Manny Martinez",37,2008,104,99.0948204148066,0.182692307,0.134615384,0.068965517,"1008182"
"Manny Martinez",36,2007,337,87.42128002276534,0.112759643,0.089020771,0.106666667,"1008182"
"Roberto Mejia",35,2007,120,72.6466198766964,0.233333333,0.058333333,0.107142857,"1008741"
"Noe Munoz",39,2007,339,99.82099961369896,0.1179941,0.126843657,0.118466899,"1009329"
"Noe Munoz",40,2008,376,122.24560542782112,0.109042553,0.106382978,0.105590062,"1009329"
"Noe Munoz",41,2009,419,117.52500355568738,0.102625298,0.105011933,0.128065395,"1009329"
"Noe Munoz",42,2010,268,74.06092852738156,0.108208955,0.115671641,0.073275862,"1009329"
"Noe Munoz",43,2011,215,54.37788639748696,0.162790697,0.120930232,0.136612022,"1009329"
"Noe Munoz",44,2012,225,97.1901988989762,0.151111111,0.124444444,0.063157895,"1009329"
"Melvin Nieves",36,2008,22,3.940677011274913,0.545454545,0.136363636,0.052631579,"1009595"
"Willis Otanez",38,2011,401,145.58026297567594,0.124688279,0.132169576,0.239067056,"1009889"
"Willis Otanez",39,2012,307,114.68221144486009,0.146579804,0.110749185,0.179775281,"1009889"
"Willis Otanez",36,2009,446,144.16077958372338,0.103139013,0.143497757,0.232432433,"1009889"
"Willis Otanez",37,2010,394,152.88660235047513,0.093908629,0.124365482,0.189349112,"1009889"
"Willis Otanez",34,2007,429,173.1679714702768,0.121212121,0.123543123,0.234332425,"1009889"
"Willis Otanez",35,2008,363,120.17671654425,0.121212121,0.099173553,0.151419558,"1009889"
"Willis Otanez",39,2012,127,99.28869660183234,0.141732283,0.149606299,0.177570094,"1009889"
"Willis Otanez",35,2008,102,74.78411416691365,0.098039215,0.166666666,0.060240964,"1009889"
"Dustin Ackley",22,2010,237,101.06984951349733,0.160337552,0.084388185,0.16509434,"10099"
"Dustin Ackley",23,2011,331,135.1791340698096,0.114803625,0.166163141,0.184501845,"10099"
"George Lombard",32,2008,29,179.80227184516565,0.310344827,0.034482758,0.37037037,"101"
"George Lombard",32,2008,51,42.067971480312224,0.274509803,0.137254901,0.11627907,"101"
"George Lombard",31,2007,148,98.6586040166022,0.283783783,0.108108108,0.141732283,"101"
"George Lombard",33,2009,22,158.15695018370934,0.318181818,0.09090909,0.157894737,"101"
"Robert Perez",38,2007,412,126.91126820132256,0.094660194,0.070388349,0.226666667,"1010186"
"Robert Perez",39,2008,452,118.42655640852229,0.108407079,0.077433628,0.175609756,"1010186"
"Robert Perez",40,2009,306,94.36221424832023,0.117647058,0.032679738,0.139372822,"1010186"
"Robert Perez",40,2009,118,107.57497381002909,0.152542372,0.06779661,0.203703703,"1010186"
"Jeremy Powell",33,2009,12,-27.764032638792674,0.416666666,0.083333333,0,"1010490"
"Jeremy Powell",34,2010,22,-58.720473714020244,0.272727272,0,0,"1010490"
"Kip Wells",35,2012,15,-26.958683335660034,0.4,0,0.076923077,"1012"
"Dave Williams",28,2007,12,-30.081433307646346,0.75,0.083333333,0,"1013"
"Jorge Toca",32,2007,50,62.338626917898765,0.06,0.06,0.108695652,"1013093"
"Mario Valdez",32,2007,330,168.01965793219188,0.112121212,0.163636363,0.165413533,"1013314"
"Mario Valdez",33,2008,305,122.50912610857199,0.101639344,0.137704918,0.201550388,"1013314"
"Mario Valdez",34,2009,313,118.71944207885932,0.083067092,0.143769968,0.157088123,"1013314"
"Mario Valdez",35,2010,190,146.01343445585695,0.115789473,0.110526315,0.246913581,"1013314"
"Mario Valdez",36,2011,79,132.43391326809757,0.126582278,0.11392405,0.352941176,"1013314"
